# SPHEREx Light Curve Data
# Source: 1662622870104953472
# RA: 205.250219
# Dec: 60.436094
# Generated: 2026-05-12T13:24:04.950755
# Number of observations: 266
#
# Column descriptions:
# - obs_id: Observation identifier
# - mjd: Modified Julian Date
# - flux: Flux density in microJansky (μJy)
# - flux_error: Flux density uncertainty in microJansky (μJy)
# - mag_ab: AB magnitude
# - mag_ab_error: AB magnitude uncertainty
# - wavelength: Central wavelength in microns
# - bandwidth: Bandwidth in microns
# - band: SPHEREx detector band (D1-D6)
# - flag: Combined flag bitmap (integer)
# - flag_binary: Flag bitmap in binary format
# - pix_x, pix_y: Pixel coordinates
# - is_upper_limit: True if flux_error > flux
# - snr: Signal-to-noise ratio
#
obs_id,mjd,flux,flux_error,mag_ab,mag_ab_error,wavelength,bandwidth,band,flag,flag_binary,pix_x,pix_y,is_upper_limit,snr,correction_factor,flux_calib,flux_error_calib
2025W18_2B_0417_4,60799.263139511,146.65604745513963,808.2636995785033,18.484250059764385,5.983804806225701,4.718862876654433,0.0366959248447583,D6,2097153,1000000000000000000001,9.04242998098986,9.5744250456655,True,0.1814457924209864,1.174799980138302,172.2915216374599,949.5481782113361
2025W18_2B_0417_4,60799.263139511,498.8218478502917,31.567099041605527,17.15513633288635,0.0687089838914655,2.01881897518899,0.0498883498177997,D3,2097152,1000000000000000000000,9.909132663041955,9.492116845403824,False,15.801954027921385,1.3831411660854513,689.9410323045521,43.661754178341205
2025W19_1B_0450_1,60802.9271896845,651.0857479244254,35.38102045075072,16.865904527818905,0.0590006078110725,1.2358041030895384,0.0296492803367949,D2,2097152,1000000000000000000000,9.644496869916289,9.30741836773302,False,18.402118978753496,1.3753758829788663,895.4876354465121,48.66220224314459
2025W19_1B_0450_1,60802.9271896845,231.1977382952489,58.20057540218633,17.990041046851708,0.273317863391952,3.9807555673053248,0.0364305978829498,D5,2097152,1000000000000000000000,9.90066549091487,9.128583659319304,False,3.972430456186932,1.3636793425688003,315.2795797618586,79.36692240157934
2025W19_1B_0450_2,60802.928681953,178.94692467299342,54.63156001386972,18.268189402154285,0.3314695837208022,4.015711648794126,0.0365727789788507,D5,2097152,1000000000000000000000,9.053802392805729,9.050485155677762,False,3.275522877757158,1.35668307577034,242.77426416500006,74.1177128737487
2025W19_1B_0450_2,60802.928681953,659.7789905428747,37.001764981025445,16.851503794713004,0.0608903230562025,1.2654092679944036,0.0304333281402498,D2,2097152,1000000000000000000000,9.356071561900164,9.118145975253404,False,17.831014030849886,1.376604358025595,908.2546337150492,50.93679092751848
2025W19_1B_0450_3,60802.9301741985,291.05786796808854,56.52334041296776,17.740051640587502,0.2108496070855433,4.0508431207180005,0.03667366687194,D5,2097152,1000000000000000000000,9.738597555310047,9.933520262994,False,5.149339473597586,1.3412005668388511,390.3669775017078,75.80913620149771
2025W19_1B_0450_3,60802.9301741985,775.458514838932,39.83813302627339,16.67610357734177,0.0557782299489994,1.2954738221464055,0.0312109836517484,D2,2097152,1000000000000000000000,9.586264112172858,9.900509928256705,False,19.465232327215595,1.3723523778543452,1064.2023367666075,54.671956587884004
2025W19_1B_0450_4,60802.9316664555,709.1353265537865,36.10051905346641,16.773177197770742,0.0552724410690266,1.326325270499369,0.0319748738961075,D2,2097152,1000000000000000000000,9.541547406813114,9.659099952730845,False,19.643355418339745,1.3712004510562206,972.3666796304524,49.50104800947682
2025W19_1B_0450_4,60802.9316664555,269.88182476655675,58.33942906818649,17.822065905220207,0.2346998741357925,4.086167594681466,0.0367230861799431,D5,2097152,1000000000000000000000,9.16484579501273,9.83700115547452,False,4.626062151741694,1.3320965414127193,359.5086453616838,77.71375168972388
